flashcard_id,stack_id,frontside,backside,learning_status
1,315,Kenya Clover,Trifolium semipilosum Fresen.,1
2,136,Anderson's Brachymenium Moss,Brachymenium andersonii H.A. Crum,2
3,39,Narrow-leaved Iceplant,Conicosia N.R. Br.,3
4,235,Seaside Mahoe,Hibiscus pernambucensis Arruda,4
5,299,Gander's Buckhorn Cholla,Cylindropuntia ganderi (C.B. Wolf) J. Rebman,5
6,317,Gopher Apple,Licania michauxii Prance,6
7,979,Neofuscelia Lichen,Neofuscelia pustulosa (Essl.) Essl.,7
8,341,Cunila,Cunila D. Royen ex L.,8
9,428,Nevada Peavine,Labordia waiolani Wawra,9
10,427,Cardinal Beardtongue,Penstemon cardinalis Wooton & Standl.,10
11,668,Lobelia,Lobelia L.,11
12,98,Green Beebalm,Monarda viridissima Correll,12
13,596,Horsebrush,Tetradymia DC.,13
14,469,Cobb Mountain Lupine,Lupinus sericatus Kellogg,14
15,915,Cartilage Lichen,Ramalina polymorpha (Lilj.) Ach.,15
16,165,Bupleurum,Bupleurum L.,16
17,895,Western Pansy,Viola beckwithii Torr. & A. Gray ssp. glabrata M.S. Baker,17
18,842,Mountain Blue Penstemon,Penstemon laetus A. Gray ssp. leptosepalus (Greene ex A. Gray) D.D. Keck,18
19,257,Cape Aloe,Aloe ferox Mill.,19
20,958,Slenderlobe Bundleflower,Desmanthus leptolobus Torr. & A. Gray,20
21,485,Leathery Polypody,Polypodium scouleri Hook. & Grev.,21
22,350,Piedmont Breadroot,"Pediomelum piedmontanum J.R. Allison, M.W. Morris & A.N. Egan",22
23,623,Birdcherry,Eugenia monticola (Sw.) DC.,23
24,241,Santa Cruz Island Manzanita,Arctostaphylos tomentosa (Pursh) Lindl. ssp. subcordata (Eastw.) P.V. Wells,24
25,78,Salacca,Salacca Reinw.,25
26,261,Sears' Goatgrass,Aegilops searsii M. Feldman & M. Kislev,26
27,675,Gorge Fleabane,Erigeron oreganus A. Gray,27
28,166,Fort Bowie Prairie Clover,Dalea brachystachya A. Gray,28
29,226,Dwarf Wakerobin,Trillium pusillum Michx. var. pusillum,29
