stack_id,user_id,stack_name,number_of_cards,number_of_learned_cards,number_of_unlearned_cards,topic,total_downloads,creator,created_at,last_learned_at
1,562,Smith's bush squirrel,1,1,1,Backhous Fuchsia,1,alindeman0,2/13/2023,4/16/2023
2,991,Greater flamingo,2,2,2,Copernicia,2,lfranceschi1,5/9/2023,5/25/2023
3,944,Eastern quoll,3,3,3,Thinleaf Late Purple Aster,3,mgowlett2,6/20/2023,8/30/2023
4,682,"Beaver, european",4,4,4,Screwtree,4,cbalnave3,10/30/2022,10/13/2022
5,210,Grey lourie,5,5,5,Aceitillo,5,smaple4,5/25/2023,2/20/2023
6,239,White-tailed jackrabbit,6,6,6,Phaeographis,6,swhistlecroft5,10/11/2022,9/20/2022
7,223,"Otter, north american river",7,7,7,Radford's Sedge,7,pcardus6,11/22/2022,12/7/2022
8,527,"Plover, three-banded",8,8,8,Longleaf Cupgrass,8,tvizor7,4/2/2023,12/14/2022
9,242,American racer,9,9,9,Slenderleaf Skyrocket,9,mhyrons8,9/4/2023,1/18/2023
10,847,Tayra,10,10,10,Popcornflower,10,mmcgown9,11/3/2022,7/8/2023
11,823,Mocking cliffchat,11,11,11,Puerto Rico Prairie Clover,11,boffella,2/25/2023,10/10/2022
12,442,"Opossum, american virginia",12,12,12,New Mexico Raspberry,12,npibornb,8/24/2023,8/12/2023
13,124,Fairy penguin,13,13,13,Indian Flatsedge,13,dhaselupc,2/25/2023,8/12/2023
14,19,Red-legged pademelon,14,14,14,California Mustard,14,hbarajasd,3/13/2023,3/11/2023
15,419,Arctic hare,15,15,15,Wart Lichen,15,wrentellle,6/3/2023,12/3/2022
16,542,"Viper, egyptian",16,16,16,Tumble Lovegrass,16,ncampbelldunlopf,8/10/2023,3/14/2023
17,907,Greater adjutant stork,17,17,17,Intermountain Phacelia,17,jgressg,5/28/2023,3/19/2023
18,907,Lapwing (unidentified),18,18,18,Spotted Snapweed,18,hjoyh,10/16/2022,10/12/2022
19,418,Red hartebeest,19,19,19,Bushy Spikemoss,19,bstuarti,10/27/2022,1/18/2023
20,648,"Fox, crab-eating",20,20,20,Tenfinger Menodora,20,mcurrmj,11/20/2022,9/21/2022
21,195,Desert kangaroo rat,21,21,21,Lombardy Poplar,21,rkeniwellk,5/2/2023,4/3/2023
22,903,"Turtle, long-necked",22,22,22,Cyphomeris,22,lginnallyl,5/25/2023,12/23/2022
23,537,"Leopard, indian",23,23,23,Sticky Ragwort,23,aivakhnom,7/31/2023,2/6/2023
24,578,Crested barbet,24,24,24,Drops Of Gold,24,csheersn,9/23/2022,9/14/2022
25,376,"Badger, eurasian",25,25,25,Olopu,25,ehempshallo,9/4/2023,9/13/2022
26,937,"Hyena, spotted",26,26,26,Cider Gum,26,qhornigp,5/1/2023,3/14/2023
27,924,Chimpanzee,27,27,27,Stephen's Stork's Bill,27,mbarthelmesq,4/15/2023,10/12/2022
28,707,Savannah deer,28,28,28,Pricklypear,28,chubbocksr,4/16/2023,9/7/2023
29,70,African skink,29,29,29,Colorado Four O'clock,29,gcastanedas,6/2/2023,12/23/2022
30,297,Guerza,30,30,30,Nevada Cryptantha,30,gostickt,6/10/2023,7/11/2023
31,995,"Bustard, stanley",31,31,31,Zebrina,31,varkinu,4/12/2023,3/13/2023
32,325,Red-breasted cockatoo,32,32,32,Calder's Licorice-root,32,rgoulbournv,10/11/2022,5/7/2023
33,470,Ring-necked pheasant,33,33,33,Purpleosier Willow,33,dprandyw,2/9/2023,10/22/2022
34,803,Asian elephant,34,34,34,Mancos Columbine,34,flipsettx,10/7/2022,3/23/2023
35,116,Ostrich,35,35,35,Nit Grass,35,cbolandy,11/19/2022,10/16/2022
36,967,Grey phalarope,36,36,36,Ticktrefoil,36,cfullerlovez,3/18/2023,5/6/2023
37,416,Tropical buckeye butterfly,37,37,37,Michaux's Parmotrema Lichen,37,kgenner10,2/4/2023,4/14/2023
38,439,African lynx,38,38,38,Squirting Cucumber,38,adunsmore11,1/7/2023,6/18/2023
39,167,Hyrax,39,39,39,Torrey's Wrightwort,39,olevesley12,12/10/2022,5/4/2023
40,522,Old world fruit bat (unidentified),40,40,40,Roughseed Cryptantha,40,lguirardin13,2/27/2023,10/6/2022
41,79,"Eagle, golden",41,41,41,Smut Grass,41,bkilius14,3/10/2023,12/25/2022
42,802,"White-eye, cape",42,42,42,Downy Goldenrod,42,mbeaney15,11/27/2022,3/22/2023
43,169,Cape raven,43,43,43,Velvet Bean,43,lbrickdale16,8/12/2023,8/13/2023
44,694,Galapagos mockingbird,44,44,44,Lecidea Lichen,44,bcayford17,8/27/2023,7/16/2023
45,986,Marabou stork,45,45,45,Woollyleaf Manzanita,45,ahotson18,7/27/2023,7/29/2023
46,792,Cereopsis goose,46,46,46,West Indian Starwort,46,mfardell19,7/10/2023,6/22/2023
47,696,"Langur, gray",47,47,47,Achar's Graphina Lichen,47,gguillard1a,11/17/2022,4/5/2023
48,396,Indian star tortoise,48,48,48,Psorula Lichen,48,lvynoll1b,6/2/2023,3/3/2023
49,709,"Bustard, kori",49,49,49,King's Clover,49,jciubutaro1c,8/25/2023,8/8/2023
50,685,Kongoni,50,50,50,False Brome,50,rrutledge1d,5/4/2023,12/9/2022
51,185,Carpet python,51,51,51,Bommeria Fern,51,vpurslow1e,7/30/2023,2/8/2023
52,490,"Meerkat, red",52,52,52,Rockcress,52,rcordero1f,8/1/2023,2/20/2023
53,141,Southern boubou,53,53,53,Callingcard Vine,53,fatkyns1g,1/14/2023,1/7/2023
54,891,African pied wagtail,54,54,54,Herbst's Sandmat,54,npendall1h,12/13/2022,10/10/2022
55,143,Barasingha deer,55,55,55,Oneleaf Cartilage Lichen,55,ngostling1i,9/6/2023,9/26/2022
56,759,"Egret, snowy",56,56,56,Wyeth Biscuitroot,56,cbutts1j,6/25/2023,7/21/2023
57,811,Golden brush-tailed possum,57,57,57,Inyo Princesplume,57,lbreeder1k,12/13/2022,3/4/2023
58,316,Woodchuck,58,58,58,Asterophoma Lichen,58,ndarben1l,2/12/2023,6/11/2023
59,58,"Viper, egyptian",59,59,59,Lesser Snakeroot,59,rcatherall1m,5/27/2023,8/1/2023
60,32,"Flicker, campo",60,60,60,Chaparral Dodder,60,ktinner1n,1/24/2023,5/6/2023
61,933,African elephant,61,61,61,Saltmarsh Alkaligrass,61,cspendlove1o,1/7/2023,10/10/2022
62,552,"Squirrel, african bush",62,62,62,Ground Nama,62,agathwaite1p,12/8/2022,5/15/2023
63,806,Common zebra,63,63,63,Reed,63,jugo1q,11/16/2022,12/18/2022
64,403,"Pelican, australian",64,64,64,Silver Hairgrass,64,cjacques1r,4/19/2023,10/5/2022
65,322,"Lion, african",65,65,65,Paiute Suncup,65,jempleton1s,6/20/2023,8/22/2023
66,336,American bighorn sheep,66,66,66,Northern Moonwort,66,njeenes1t,4/25/2023,8/15/2023
67,2,Violet-crested turaco,67,67,67,Murdannia,67,wcheshir1u,6/15/2023,9/3/2023
68,506,"Fox, blue",68,68,68,Placynthiella Lichen,68,rbohey1v,9/30/2022,7/20/2023
69,40,"Avocet, pied",69,69,69,Marsh Valerian,69,aboyen1w,1/14/2023,11/14/2022
70,732,"Rabbit, eastern cottontail",70,70,70,Thick Ditch Crowngrass,70,cmclachlan1x,1/29/2023,9/10/2022
71,778,"Coatimundi, ring-tailed",71,71,71,Cliff Palace Milkvetch,71,dfreiburger1y,1/19/2023,6/1/2023
72,200,"Seal, southern elephant",72,72,72,Pygmy Bluet,72,gpybworth1z,8/31/2023,2/5/2023
73,215,"Duck, blue",73,73,73,Entodontopsis Moss,73,ceslie20,11/9/2022,1/15/2023
74,769,Red-necked wallaby,74,74,74,Willdenow's Maiden Fern,74,ctebbett21,5/26/2023,12/24/2022
75,993,"Marten, american",75,75,75,Silver Buffaloberry,75,abole22,1/1/2023,9/3/2023
76,715,"Sheep, american bighorn",76,76,76,Orcutt's Bristleweed,76,itwede23,7/8/2023,12/20/2022
77,991,"Lion, steller sea",77,77,77,Bigelow's False Willow,77,dmerritt24,9/17/2022,12/17/2022
78,271,Mara,78,78,78,Slender Passionflower,78,gcaldecott25,2/24/2023,1/12/2023
79,940,Mexican wolf,79,79,79,Bradley's Spleenwort,79,mcrips26,5/27/2023,9/27/2022
80,761,"Kangaroo, eastern grey",80,80,80,Cascade Calicoflower,80,mlangley27,12/18/2022,3/2/2023
81,594,Four-spotted skimmer,81,81,81,Cup Lichen,81,mlippett28,6/10/2023,4/29/2023
82,87,Woylie,82,82,82,Maranta,82,dbase29,7/24/2023,4/14/2023
83,89,Red-capped cardinal,83,83,83,Brandegee's Fumewort,83,npearcey2a,7/15/2023,7/31/2023
84,489,"Nighthawk, common",84,84,84,Ives' Fournerved Daisy,84,jluscombe2b,11/23/2022,9/1/2023
85,7,Laughing kookaburra,85,85,85,Sweet Signalgrass,85,pcoleshill2c,1/24/2023,8/17/2023
86,863,"Lizard, frilled",86,86,86,Longstalk Springparsley,86,selliman2d,2/1/2023,11/29/2022
87,626,"Kangaroo, western grey",87,87,87,Antelopehorns,87,tboyda2e,11/6/2022,7/17/2023
88,260,"Eagle, tawny",88,88,88,Puerto Rico Manjack,88,cgantzman2f,4/12/2023,5/4/2023
89,490,Common nighthawk,89,89,89,Wallrocket,89,vcholomin2g,3/24/2023,2/26/2023
90,96,"Porcupine, crested",90,90,90,Fivefinger Chickensage,90,spople2h,12/27/2022,9/11/2022
91,373,Beisa oryx,91,91,91,Hyssopleaf Pepperweed,91,elanfranchi2i,7/23/2023,6/28/2023
92,869,Reindeer,92,92,92,Surinam Bulletwood,92,eputland2j,8/10/2023,4/29/2023
93,655,"Cobra, egyptian",93,93,93,Western Meadow Aster,93,rguyot2k,7/2/2023,1/24/2023
94,665,"Sparrow, house",94,94,94,Konakona,94,gbachura2l,9/28/2022,6/14/2023
95,866,"Bear, american black",95,95,95,Hairtip Clubmoss,95,nwarsap2m,7/9/2023,1/5/2023
96,741,Stone sheep,96,96,96,Paradisetree,96,hbowe2n,11/21/2022,12/28/2022
97,558,"Cat, ringtail",97,97,97,Graphina Lichen,97,rmoresby2o,11/21/2022,5/1/2023
98,289,"Curlew, black",98,98,98,Small's Southern Clarkia,98,ljochens2p,5/16/2023,6/28/2023
99,808,Southern elephant seal,99,99,99,Orange Lichen,99,eolyhane2q,12/24/2022,2/21/2023
100,975,Tokay gecko,100,100,100,Ajowan Caraway,100,lboatman2r,7/4/2023,12/29/2022
101,444,"Grouse, greater sage",101,101,101,Glacial Sedge,101,jtapin2s,3/30/2023,3/11/2023
102,283,Pied cormorant,102,102,102,Placynthiella Lichen,102,erouby2t,6/16/2023,3/21/2023
